iter	RMSE
0	16935.1905
1	16618.2355
2	16334.41779
3	16039.56933
4	15736.20747
5	15447.89173
6	15170.43439
7	14891.35502
8	14617.75379
9	14353.0474
10	14082.3837
11	13836.27681
12	13583.75252
13	13339.10031
14	13087.94254
15	12843.65123
16	12612.08078
17	12387.42662
18	12164.77438
19	11947.07297
20	11728.76342
21	11533.897
22	11327.10075
23	11117.21289
24	10927.53501
25	10742.20568
26	10558.1097
27	10372.9613
28	10184.09263
29	9997.505565
30	9824.275337
31	9642.400882
32	9474.003633
33	9303.979832
34	9143.543613
35	8981.325976
36	8825.170227
37	8670.885867
38	8513.462103
39	8365.761624
40	8221.888283
41	8078.633405
42	7936.311749
43	7794.382937
44	7663.250214
45	7533.061869
46	7416.160047
47	7304.768519
48	7180.641174
49	7058.13783
50	6944.613688
51	6831.621527
52	6719.475484
53	6606.597987
54	6492.744512
55	6387.119338
56	6280.386073
57	6177.906533
58	6077.458891
59	5980.833802
60	5887.009798
61	5791.728457
62	5699.001851
63	5607.814487
64	5524.910863
65	5437.547518
66	5357.09701
67	5268.481501
68	5188.657868
69	5106.068036
70	5024.467064
71	4953.628651
72	4879.142172
73	4805.957331
74	4731.648914
75	4660.364985
76	4591.550931
77	4520.810912
78	4462.325376
79	4394.889148
80	4329.92203
81	4271.515285
82	4209.054151
83	4148.226273
84	4091.107023
85	4034.35642
86	3981.513574
87	3922.620715
88	3873.775315
89	3817.905054
90	3764.255419
91	3712.247946
92	3662.130184
93	3615.551777
94	3565.316598
95	3521.218794
96	3479.279084
97	3436.400521
98	3392.341244
99	3347.624541
100	3304.700064
101	3262.99002
102	3224.076869
103	3184.284944
104	3147.228624
105	3112.368131
106	3076.234906
107	3043.894437
108	3010.373351
109	2975.580988
110	2944.930251
111	2913.916263
112	2884.592729
113	2853.888135
114	2830.487392
115	2806.167761
116	2778.466542
117	2749.46207
118	2719.104662
119	2693.217451
120	2671.120917
121	2647.114218
122	2625.914737
123	2600.585407
124	2573.017704
125	2551.885718
126	2530.258601
127	2505.684697
128	2485.220654
129	2463.177962
