iter	Passed	Remaining
0	20	10000
1	30	7544
2	47	7795
3	60	7532
4	74	7400
5	89	7400
6	104	7341
7	117	7219
8	128	7006
9	134	6609
10	138	6178
11	143	5837
12	146	5497
13	149	5206
14	153	4948
15	157	4758
16	160	4572
17	164	4409
18	168	4261
19	172	4138
20	175	4013
21	179	3897
22	182	3774
23	184	3667
24	187	3570
25	190	3479
26	194	3402
27	197	3324
28	199	3248
29	203	3181
30	206	3117
31	209	3062
32	212	3003
33	215	2947
34	218	2907
35	221	2856
36	224	2812
37	227	2769
38	230	2728
39	233	2685
40	236	2646
41	239	2607
42	241	2571
43	244	2536
44	247	2503
45	250	2473
46	253	2442
47	256	2418
48	260	2393
49	263	2370
50	266	2345
51	269	2320
52	272	2298
53	275	2279
54	279	2260
55	282	2236
56	285	2215
57	287	2194
58	290	2175
59	294	2158
60	297	2143
61	300	2125
62	303	2106
63	306	2091
64	310	2075
65	313	2060
66	316	2044
67	319	2028
68	322	2012
69	325	1998
70	328	1985
71	331	1970
72	334	1958
73	337	1944
74	340	1931
75	344	1920
76	347	1907
77	349	1893
78	353	1883
79	356	1873
80	360	1863
81	363	1853
82	366	1841
83	369	1831
84	372	1820
85	376	1811
86	379	1800
87	382	1789
88	385	1779
89	388	1768
90	391	1758
91	394	1748
92	397	1738
93	400	1728
94	403	1719
95	406	1710
96	410	1704
97	413	1694
98	416	1687
99	420	1681
100	424	1676
101	427	1667
102	430	1658
103	433	1650
104	436	1642
105	439	1635
106	443	1627
107	446	1619
108	449	1611
109	452	1604
110	455	1597
111	458	1589
112	461	1581
113	465	1574
114	468	1567
115	471	1561
116	474	1554
117	477	1547
118	480	1539
119	483	1532
120	486	1525
121	490	1518
122	493	1511
123	496	1504
124	499	1497
125	502	1490
126	505	1485
127	509	1479
128	512	1473
129	515	1467
130	519	1461
131	522	1455
132	525	1449
133	528	1442
134	530	1434
135	533	1429
136	536	1422
137	539	1416
138	543	1410
139	546	1404
140	549	1398
141	552	1392
142	555	1386
143	558	1380
144	561	1374
145	564	1367
146	567	1362
147	570	1356
148	573	1351
149	576	1345
150	579	1339
151	582	1333
152	585	1327
153	588	1322
154	591	1316
155	594	1310
156	597	1304
157	600	1299
158	603	1294
159	606	1289
160	609	1283
161	613	1279
162	616	1273
163	619	1268
164	622	1263
165	625	1258
166	628	1253
167	631	1248
168	634	1242
169	637	1238
170	641	1233
171	643	1227
172	646	1222
173	649	1217
174	653	1213
175	656	1208
176	659	1203
177	662	1198
178	666	1195
179	670	1191
180	673	1186
181	676	1181
182	678	1176
183	681	1171
184	685	1166
185	688	1161
186	690	1156
187	693	1151
188	696	1146
189	699	1141
190	703	1137
191	706	1133
192	709	1128
193	712	1123
194	715	1118
195	718	1115
196	722	1110
197	724	1105
198	727	1101
199	730	1096
200	733	1091
201	737	1087
202	740	1083
203	743	1078
204	746	1073
205	749	1069
206	753	1065
207	756	1061
